time,ava
2014-01-20T00:00:00Z,830
2014-01-21T00:00:00Z,824.25
2014-01-22T00:00:00Z,812.995
2014-01-23T00:00:00Z,812.19
2014-01-24T00:00:00Z,789.38
2014-01-25T00:00:00Z,795.2
2014-01-26T00:00:00Z,814.505
2014-01-27T00:00:00Z,774
2014-01-28T00:00:00Z,776.47
2014-01-29T00:00:00Z,793.47
2014-01-30T00:00:00Z,791.57
2014-01-31T00:00:00Z,800.49
2014-02-01T00:00:00Z,814.985
2014-02-02T00:00:00Z,817.72
2014-02-03T00:00:00Z,807.75
2014-02-04T00:00:00Z,804.905
2014-02-05T00:00:00Z,792.5
2014-02-06T00:00:00Z,777.5
2014-02-07T00:00:00Z,692.725
2014-02-08T00:00:00Z,692.505
2014-02-09T00:00:00Z,710.815
2014-02-10T00:00:00Z,621.5
2014-02-11T00:00:00Z,675.5
2014-02-12T00:00:00Z,658.385
2014-02-13T00:00:00Z,630.77
2014-02-14T00:00:00Z,625.455
2014-02-15T00:00:00Z,651.025
2014-02-16T00:00:00Z,630.005
2014-02-17T00:00:00Z,637.495
2014-02-18T00:00:00Z,629.995
2014-02-19T00:00:00Z,626.5
2014-02-20T00:00:00Z,595.95
2014-02-21T00:00:00Z,559.505
2014-02-22T00:00:00Z,591.015
2014-02-23T00:00:00Z,622.89
2014-02-24T00:00:00Z,571.51
2014-02-25T00:00:00Z,472.9
2014-02-26T00:00:00Z,570
2014-02-27T00:00:00Z,585.605
2014-02-28T00:00:00Z,566.195
2014-03-01T00:00:00Z,555.5
2014-03-02T00:00:00Z,561.995
2014-03-03T00:00:00Z,636.01
2014-03-04T00:00:00Z,667.94
2014-03-05T00:00:00Z,665.935
2014-03-06T00:00:00Z,662.855
2014-03-07T00:00:00Z,641.725
2014-03-08T00:00:00Z,621.45
2014-03-09T00:00:00Z,633.015
2014-03-10T00:00:00Z,627.795
2014-03-11T00:00:00Z,629.305
2014-03-12T00:00:00Z,642.875
2014-03-13T00:00:00Z,641
2014-03-14T00:00:00Z,635.145
2014-03-15T00:00:00Z,632.6
2014-03-16T00:00:00Z,634.205
2014-03-17T00:00:00Z,627.225
2014-03-18T00:00:00Z,607.65
2014-03-19T00:00:00Z,614.53
2014-03-20T00:00:00Z,594.98
2014-03-21T00:00:00Z,581.94
2014-03-22T00:00:00Z,556.495
2014-03-23T00:00:00Z,563.11
2014-03-24T00:00:00Z,569.8
2014-03-25T00:00:00Z,578.17
2014-03-26T00:00:00Z,578.5
2014-03-27T00:00:00Z,523.845
2014-03-28T00:00:00Z,500.15
2014-03-29T00:00:00Z,497.485
2014-03-30T00:00:00Z,464
2014-03-31T00:00:00Z,462.35
2014-04-01T00:00:00Z,481.01
2014-04-02T00:00:00Z,462.49
2014-04-03T00:00:00Z,440.555
2014-04-04T00:00:00Z,445.135
2014-04-05T00:00:00Z,453.025
2014-04-06T00:00:00Z,457.6
2014-04-07T00:00:00Z,455.095
2014-04-08T00:00:00Z,453.02
2014-04-09T00:00:00Z,447.69
2014-04-10T00:00:00Z,400.015
